Epoki,Funkcja
0,2.756441593170166
1,0.6094566583633423
2,0.4220936596393585
3,0.34827721118927
4,0.3062049448490143
5,0.27462613582611084
6,0.2562336027622223
7,0.23703224956989288
8,0.23154760897159576
9,0.22683671116828918
10,0.21314944326877594
11,0.2085890769958496
12,0.19096246361732483
13,0.20556142926216125
14,0.18764130771160126
15,0.1814134120941162
16,0.1804608851671219
17,0.17914773523807526
18,0.17169857025146484
19,0.16953542828559875
20,0.16643987596035004
21,0.16389283537864685
22,0.159481942653656
23,0.16147717833518982
24,0.15484575927257538
25,0.15673702955245972
26,0.1594911366701126
27,0.15046830475330353
28,0.1566188782453537
29,0.1478271782398224
30,0.1546632945537567
31,0.14718584716320038
32,0.1516091674566269
33,0.14509333670139313
34,0.14491111040115356
35,0.14219880104064941
36,0.14457322657108307
37,0.14328503608703613
38,0.14063340425491333
39,0.14089295268058777
40,0.14006590843200684
41,0.13771437108516693
42,0.13754983246326447
43,0.1383858174085617
44,0.13582810759544373
45,0.13621394336223602
46,0.13835275173187256
47,0.13421829044818878
48,0.13731761276721954
49,0.130276158452034
